"filename","_col1"
"20230818_14_408.zip-381805H0.809","190"
"20230818_07_408.zip-381890H0.811","104"
"20230816_06_408.zip-381687H0.814","5407"
"20230818_13_408.zip-381832H0.804","75"
"20230816_18_408.zip-381691H0.809","3328"
"20230818_15_408.zip-381896H0.802","172"
"20230824_10_408.zip-382460H0.811","38"
"20230820_09_408.zip-382010H0.805","20"
"20230819_07_408.zip-381983H0.807","49"
"20230821_06_408.zip-382190H0.815","9"
"20230822_21_408.zip-382258H0.809","12"
"20230811_17_408.zip-381127H0.811","1215"
"20230821_17_408.zip-382101H0.807","38"
"20230810_04_408.zip-381051H0.805","272"
"20230811_15_408.zip-381166H0.809","3506"
"20230822_07_408.zip-382298H0.815","8"
"20230823_19_408.zip-382353H0.805","16"
"20230818_21_408.zip-381875H0.807","60"
"20230811_04_408.zip-381116H0.811","5161"
"20230810_15_408.zip-381032H0.814","2533"
"20230812_14_408.zip-381206H0.807","1147"
"20230816_09_408.zip-381655H0.807","580"
"20230814_12_408.zip-381484H0.802","173"
"20230815_15_408.zip-381533H0.812","8"
"20230814_13_408.zip-381450H0.813","1559"
"20230814_11_408.zip-381482H0.805","1591"
"20230817_08_408.zip-381742H0.812","1981"
"20230816_13_408.zip-381694H0.814","1230"
"20230817_12_408.zip-381785H0.808","758"
"20230815_15_408.zip-381534H0.812","286"
"20230814_17_408.zip-381441H0.815","1587"
"20230816_19_408.zip-381639H0.812","1337"
"20230813_10_408.zip-381339H0.813","5539"
"20230818_08_408.zip-381897H0.805","103"
"20230815_03_408.zip-381580H0.804","762"
"20230819_11_408.zip-381966H0.812","111"
"20230820_11_408.zip-382012H0.809","17"
"20230820_22_408.zip-382030H0.811","42"
"20230815_10_408.zip-381543H0.807","1180"
"20230823_03_408.zip-382365H0.809","12"
"20230821_19_408.zip-382145H0.804","10"
"20230823_19_408.zip-382375H0.809","12"
"20230821_10_408.zip-382138H0.811","39"
"20230822_17_408.zip-382248H0.804","10"
"20230822_06_408.zip-382243H0.811","39"
"20230822_20_408.zip-382256H0.814","9"
"20230821_22_408.zip-382100H0.813","12"
"20230823_11_408.zip-382318H0.807","38"
"20230822_07_408.zip-382245H0.809","12"
"20230811_13_408.zip-381118H0.801","946"
